source_id,dest_id,wt
0,64,0.19031303607964944
1,32,0.16492802760458225
2,153,0.1667551135521579
3,64,0.16966437033239118
4,5,0.18014316653508264
4,18,0.31840261264408215
4,45,0.17939259747478709
4,63,0.38314269188809297
4,69,0.1645241300348676
4,101,0.16375179984878419
4,139,0.19306460129844133
4,141,0.17540192630870854
4,156,0.18248663321104602
4,199,0.17496676569588906
4,204,0.1751596301713002
7,64,0.33136220792990806
8,104,0.3054553618482809
9,64,0.3183580128370182
10,35,0.18040156225705672
10,59,0.18040156225705672
10,68,0.18040156225705672
10,81,0.18040156225705672
10,84,0.18040156225705672
10,102,0.18040156225705672
10,118,0.18040156225705672
10,123,0.18040156225705672
10,149,0.18040156225705672
11,64,0.21327699087571683
12,64,0.16755392636367705
13,165,0.18521830223948635
14,32,0.16775314939170344
15,58,0.4579502575263802
16,64,0.2506779637829311
17,64,0.25065036086502795
18,64,1
19,64,0.30093967966105334
20,64,0.1674000323084708
21,124,0.2976664101874751
24,32,0.16817246162779154
26,64,0.2778016286467776
27,22,0.19240351120125573
28,64,0.21172308053170363
29,71,0.3323043869279629
31,64,0.18542078886236255
32,1,0.16492802760646258
32,14,0.1677531493935521
32,24,0.1681724616296356
32,25,0.20370350537033893
32,42,0.1677531493935521
32,49,0.16771425101780219
32,56,0.16492802760646258
32,77,0.20692166334960665
32,79,0.17415008473610114
32,80,0.2826974177263329
32,94,0.16804951977400284
32,111,0.16492802760646258
32,126,0.16492802760646258
32,129,0.16914623125328573
32,135,0.7934080257564917
32,143,0.1735239278771765
32,160,0.16354663684816262
32,163,0.2883960681084938
32,169,0.1677531493935521
32,174,0.16652917370870723
32,177,0.16870023562641231
32,190,0.1677531493935521
32,202,0.1677531493935521
32,203,0.16492802760646258
34,136,0.28857086989423203
36,58,0.24946403819091123
37,32,0.5751073708417779
38,58,0.3263071035250934
39,153,0.3384481543977164
41,32,0.17580455960801816
42,32,0.16775314939170344
43,31,0.18202007209430113
44,64,0.24808218215719696
47,64,0.2428189431549772
48,64,0.2873165477794098
49,32,0.16771425101595308
50,58,0.18922033489140527
51,64,0.3576807193432462
52,117,0.3429271131913644
54,28,0.20271656223039208
55,122,0.18971245349359003
56,32,0.16492802760458225
57,18,0.18943374346793687
57,63,0.6286062906546107
58,18,0.2713137480302716
58,51,0.2189891379889793
58,63,0.17551947267471457
58,107,0.1805963564443028
58,181,0.18204120235992036
58,194,0.1925747543821344
58,196,0.21103922165559114
58,199,0.20289252856625958
60,153,0.26557939530765373
61,164,0.17409362974143427
62,64,0.16584106724599182
63,15,0.3600155559900393
63,18,0.769062864244214
63,34,0.19440009622240204
63,52,0.2254010959605821
63,91,0.5011608958545856
64,30,0.18851377927828863
64,46,0.26318235237614457
64,54,0.1795938393909273
64,60,0.20182411206125273
64,63,0.5283510023922624
64,66,0.23539642729600582
64,78,0.16686595506919827
64,91,0.26094429720972306
64,98,0.21474001597882203
64,107,0.283197472050932
64,108,0.6685625727647811
64,138,0.2191697527218912
64,148,0.20443582481195693
64,151,0.18150249380510136
64,154,0.1950020015187794
64,173,0.19129711915574235
64,178,0.19503961830761524
64,180,0.19985930100257807
64,181,0.3779516020069732
64,184,0.25077667208900056
64,186,0.1797128592444078
64,200,0.16408925376998515
65,32,0.17415008473432037
66,136,0.23539642729600582
